slug,displayName,aliases,clientDescription,clientInstructions,clientMistakes,clientBenefits,defaultCue,primaryMuscles,secondaryMuscles,equipment,movementPattern,difficulty,posterFile,videoFile,sourceName,contentStatus,reviewFlags
dumbbell-incline-bench-press,Dumbbell Incline Bench Press,Incline Bench Press,"An inclined dumbbell press that targets the upper chest, front delts, and triceps.","Set a bench to a 30 to 45 degree incline and sit with a dumbbell resting on each thigh. | Kick the dumbbells up to your shoulders one at a time, then lie back with the weights at chest height. | Pull your shoulder blades back and down into the bench with feet planted flat on the floor. | Press both dumbbells straight up until the arms are fully extended and the weights nearly touch overhead. | Lower under control to chest level with elbows tracked at about 45 to 60 degrees from the torso. | Pause briefly at the bottom, then press back up powerfully, finishing each rep with a strong lockout.","Letting the elbows flare straight out, which can increase stress at the front of the shoulder and shifts work off the chest. | Setting the bench too steep, which turns the press into a shoulder press and loses the upper-chest focus. | Bouncing the dumbbells at the bottom or stopping short, missing the productive stretch on the chest. | Pressing the dumbbells out wide rather than straight up, which destabilizes the lift and shortens the press.","Builds upper-chest size and visible top-line definition. | Develops front-delt and triceps strength alongside the chest. | Trains each side independently, fixing left-right pressing imbalances.","Set your shoulders, brace your trunk, and press through a controlled path.",Chest,Shoulders | Triceps,Dumbbell,Push,beginner,posters/dumbbell-incline-bench-press.webp,dumbbell-incline-bench-press.mp4,Dumbbell Incline Bench Press,draft_requires_human_review,marketing_or_hype_language
dumbbell-incline-chest-fly,Dumbbell Incline Chest Fly,Incline Chest Fly,An incline-bench dumbbell fly that isolates the upper chest through a deep stretch and clean squeeze at the top.,"Set a bench to a 30 to 45 degree incline and sit with a light dumbbell resting on each thigh. | Lie back with a dumbbell in each hand, palms facing each other, and arms pressed straight up over the chest. | Set a slight bend in the elbows and hold that bend fixed for the rest of the set. | Lower the dumbbells out to the sides in a wide arc until you feel a deep stretch across the upper chest. | Pause briefly at the bottom with the chest open and the shoulder blades pinned back into the bench. | Squeeze the chest to bring the dumbbells back together overhead, stopping just short of touching.","Bending the elbows mid-rep, which turns the fly into a sloppy press and loses the chest isolation. | Going too heavy, which forces the elbows to collapse and stresses the front shoulders. | Crashing the dumbbells together at the top instead of pausing for a controlled chest squeeze. | Pulling the shoulder blades off the bench, rolling the shoulders forward and risking shoulder stress.",Isolates and builds the upper chest with minimal triceps assistance. | Loads the chest through a deep stretch for hypertrophy stimulus. | Improves the mind-muscle connection on a press-dominant chest day.,"Keep the rest of your body still and move through a smooth, controlled range.",Chest,,Dumbbell,Isolation,beginner,posters/dumbbell-incline-chest-fly.webp,dumbbell-incline-chest-fly.mp4,Dumbbell Incline Chest Fly,draft_requires_human_review,
dumbbell-incline-curl,Dumbbell Incline Curl,Incline Curl,A seated curl on an incline bench that stretches the biceps long-head before each rep.,"Set a bench to about a 60 degree incline and sit back with a dumbbell hanging from each hand. | Let the arms fully extend straight down, palms facing forward, and pull the shoulder blades back into the bench. | Keep the elbows pinned at your sides and resist letting them swing forward as you start the rep. | Curl both dumbbells up by bending at the elbow only, squeezing the biceps as the weights rise. | Stop the curl just shy of the elbows traveling forward, then squeeze hard for a brief pause at the top. | Lower the dumbbells under control over 2 to 3 seconds back to the fully stretched bottom position.","Letting the elbows drift forward at the top, which removes the long-head stretch the lift is designed for. | Rolling the shoulders forward off the bench, swapping biceps work for front-shoulder stress. | Rushing the lower portion and skipping the stretched bottom where most of the growth comes from. | Going too heavy, which forces a swinging cheat curl and loses the strict isolation.","Builds the long head of the biceps for visible peak development. | Loads the biceps through a deep stretch for hypertrophy stimulus. | Removes momentum cheating through the seated, anchored position.","Keep the rest of your body still and move through a smooth, controlled range.",Biceps,,Dumbbell,Isolation,beginner,posters/dumbbell-incline-curl.webp,dumbbell-incline-curl.mp4,Dumbbell Incline Curl,draft_requires_human_review,
dumbbell-incline-front-raise,Dumbbell Incline Front Raise,Incline Front Raise,A front raise performed face-down on an incline bench.,"Set a bench to about a 45 degree incline and lie face-down on it with a dumbbell in each hand. | Let the arms hang straight toward the floor, palms facing each other, with a slight bend in the elbows. | Brace the core, plant the toes on the floor, and pull the shoulder blades back and down. | Raise both dumbbells out in front of you in a controlled arc until the arms reach about shoulder height. | Pause briefly at the top with the front delts engaged and the wrists in line with the forearms. | Lower the dumbbells under control over 2 to 3 seconds back to the hanging start position.","Lifting the dumbbells too high and letting the traps take over the lift. | Bending and straightening the elbows mid-rep, which sneaks the biceps into the work. | Rushing the lower portion and dropping the dumbbells back to the start, missing most of the muscle tension. | Going too heavy, which forces swinging and removes the isolation the bench is designed to enforce.",Isolates the front shoulders through a fuller range than standing raises. | Removes momentum and torso swing through the chest-supported position. | Builds visible front-delt size for an aesthetic shoulder line.,"Keep the rest of your body still and move through a smooth, controlled range.",Shoulders,,Dumbbell,Isolation,beginner,posters/dumbbell-incline-front-raise.webp,dumbbell-incline-front-raise.mp4,Dumbbell Incline Front Raise,draft_requires_human_review,
dumbbell-incline-hammer-curl,Dumbbell Incline Hammer Curl,Incline Hammer Curl,A neutral-grip curl done seated on an incline bench.,"Set a bench to about a 60 degree incline and sit back with a dumbbell hanging from each hand. | Let the arms fully extend straight down, palms facing each other, with the shoulder blades pinned to the bench. | Keep the elbows pinned at your sides and resist any urge to swing them forward as you curl. | Curl both dumbbells up by bending only at the elbow, palms staying in the neutral hammer position. | Stop the curl just before the elbows travel forward, squeezing hard for a brief pause at the top. | Lower the dumbbells under control over 2 to 3 seconds back to the fully stretched start position.","Letting the elbows drift forward at the top, which removes the brachialis stretch the lift is designed for. | Rolling the shoulders forward off the bench, swapping arm work for front-shoulder stress. | Rushing the lower portion and dropping out of the stretched bottom where the growth happens. | Loading too heavy, which forces a swinging cheat rep and ruins the isolation.","Builds upper-arm thickness through the brachialis under deep stretch. | Develops forearm size and grip strength through the neutral grip. | Removes momentum cheating through the seated, anchored position.","Keep the rest of your body still and move through a smooth, controlled range.",Biceps,,Dumbbell,Isolation,beginner,posters/dumbbell-incline-hammer-curl.webp,dumbbell-incline-hammer-curl.mp4,Dumbbell Incline Hammer Curl,draft_requires_human_review,
dumbbell-lateral-raise,Dumbbell Lateral Raise,Lateral Raise,A standing dumbbell raise out to the sides.,"Stand tall with a dumbbell in each hand, arms at your sides, palms facing your thighs. | Set a slight bend in the elbows and lock that bend in place for the rest of the set. | Brace the core, pull the shoulders back and down, and resist any urge to swing the torso. | Raise both dumbbells out to the sides in a wide arc until the arms reach shoulder height. | Pause briefly at the top with the wrists, elbows, and shoulders all roughly in one straight line. | Lower the dumbbells under control over 2 to 3 seconds back to the start, fighting tension the whole way.","Swinging the torso to throw the dumbbells up, which lets the traps and momentum take over. | Lifting the dumbbells higher than shoulder height, which shifts work off the side delts onto the traps. | Letting the elbows straighten and bend mid-rep, sneaking the biceps and front delts into the work. | Going too heavy, which collapses form and removes the isolation the lift is designed for.","Builds side-delt size for shoulder width and the V-taper look. | Develops the capped, rounded shoulder appearance that defines aesthetic physiques. | Improves shoulder stability and control through a strict isolation pattern.","Keep the rest of your body still and move through a smooth, controlled range.",Shoulders,,Dumbbell,Isolation,beginner,posters/dumbbell-lateral-raise.webp,dumbbell-lateral-raise.mp4,Dumbbell Lateral Raise,draft_requires_human_review,
dumbbell-laying-reverse-fly,Lying Reverse Fly,Dumbbell Laying Reverse Fly | Laying Reverse Fly | Dumbbell Lying Reverse Fly | Chest-Supported Reverse Fly | Rear Delt Fly,A chest-down reverse fly on an incline bench that isolates the rear delts and upper back while the bench supports the torso.,"Set a bench to about a 45 degree incline and lie face-down on it with a dumbbell in each hand. | Let the arms hang straight toward the floor, palms facing each other, with a slight bend in the elbows. | Brace the core, plant the toes on the floor, and lock the slight elbow bend for the set. | Open the arms out to the sides in a wide arc, leading with the elbows toward the ceiling. | Squeeze the rear delts and the middle of the back together at the top of the lift, pausing briefly. | Lower the dumbbells under control over 2 to 3 seconds back to the hanging start position.","Bending and straightening the elbows mid-rep, which sneaks the triceps and traps into the lift. | Pulling the dumbbells back like a row, swapping rear-delt isolation for mid-back rowing work. | Shrugging the shoulders up at the top, which trades rear-delt work for trap engagement. | Loading too heavy, which forces swinging form and removes the strict isolation the bench enforces.",Isolates and builds the rear delts for balanced shoulder development. | Supports the torso and reduces the need to hold a bent-over position. | Supports upper-back strength and positional control by strengthening the upper-back muscles that pull shoulders open.,"Keep the rest of your body still and move through a smooth, controlled range.",Shoulders,,Dumbbell,Isolation,beginner,posters/dumbbell-laying-reverse-fly.webp,dumbbell-laying-reverse-fly.mp4,Dumbbell Laying Reverse Fly,draft_requires_human_review,display_name_overridden | posture_or_correction_claim | source_name_spelling_corrected
dumbbell-leg-curl,Dumbbell Leg Curl,Leg Curl,A prone leg curl performed by squeezing a dumbbell between the feet.,"Lie face-down on a bench or the floor with the legs straight and a dumbbell ready at the feet. | Have a partner place a dumbbell vertically between your feet, or set it carefully on your own. | Squeeze the feet together hard around the dumbbell to lock it in place for the full set. | Curl both heels up toward your glutes by bending only at the knees, keeping the hips pressed down. | Squeeze the hamstrings hard at the top with the lower legs near vertical, pausing briefly. | Lower the dumbbell under control over 2 to 3 seconds back to a fully straight-leg position.","Lifting the hips off the bench to use momentum instead of curling cleanly with the hamstrings. | Letting the dumbbell slip between the feet by relaxing the squeeze mid-rep. | Rushing the lower portion and dropping the weight back to the start, missing most of the muscle tension. | Loading too heavy, which forces broken form and risks dropping the dumbbell on the floor.",Builds hamstring size through direct knee-flexion isolation. | Balances out quad-dominant leg training with targeted hamstring work. | Trains the hamstrings without needing a leg curl machine.,"Keep the rest of your body still and move through a smooth, controlled range.",Hamstrings,,Dumbbell,Isolation,beginner,posters/dumbbell-leg-curl.webp,dumbbell-leg-curl.mp4,Dumbbell Leg Curl,draft_requires_human_review,
dumbbell-preacher-curl,Dumbbell Preacher Curl,Preacher Curl,A single-arm curl with the upper arm fixed against a preacher pad.,"Set up at a preacher bench with a single dumbbell ready and the seat adjusted so the armpit sits at the top of the pad. | Sit down and press the back of the upper arm flat against the angled pad, gripping the dumbbell with the palm up. | Let the arm extend almost fully at the bottom but stop just shy of full lockout to keep tension on the biceps. | Curl the dumbbell up by bending only at the elbow, keeping the upper arm glued to the pad. | Squeeze the biceps hard at the top with the dumbbell near shoulder height, pausing briefly. | Lower the dumbbell under control over 2 to 3 seconds back to the near-extended start position.","Lifting the upper arm off the pad mid-rep, which kills the strict isolation the bench enforces. | Locking the elbow fully at the bottom under load, which can increase stress around the joint and removes muscle tension. | Dropping the dumbbell back down quickly, missing the lower-biceps stretch where most of the growth lives. | Loading too heavy, which forces the pad-arm to lift and turns the curl into a swinging cheat rep.","Builds the lower portion of the biceps through strict elbow isolation. | Removes momentum and shoulder swing from the curl entirely. | Trains each arm independently, fixing left-right strength imbalances.","Keep the rest of your body still and move through a smooth, controlled range.",Biceps,,Dumbbell,Isolation,beginner,posters/dumbbell-preacher-curl.webp,dumbbell-preacher-curl.mp4,Dumbbell Preacher Curl,draft_requires_human_review,
dumbbell-rear-delt-fly,Dumbbell Rear Delt Fly,Rear Delt Fly,A bent-over reverse fly with dumbbells.,"Stand tall with a dumbbell in each hand, then hinge at the hips until the torso is nearly parallel to the floor. | Let the arms hang straight down beneath the shoulders, palms facing each other, with a slight bend in the elbows. | Brace the core, set a flat back, and lock the slight elbow bend in place for the rest of the set. | Open the arms out to the sides in a wide arc, leading with the elbows toward the ceiling. | Squeeze the rear delts and the middle of the back together at the top of the lift, pausing briefly. | Lower the dumbbells under control over 2 to 3 seconds back to the hanging start position.","Standing too upright, which turns the lift into a half lateral raise and misses the rear delts. | Pulling the dumbbells back like a row, swapping rear-delt isolation for mid-back rowing work. | Shrugging the shoulders at the top, which trades rear-delt work for trap engagement. | Rounding the lower back at the hinge, which loads the spine instead of the working muscles.",Builds the rear delts for balanced shoulder development. | Strengthens the muscles between the shoulder blades for better posture. | Counters the forward-shoulder pull from heavy pressing volume.,"Keep the rest of your body still and move through a smooth, controlled range.",Shoulders,,Dumbbell,Isolation,beginner,posters/dumbbell-rear-delt-fly.webp,dumbbell-rear-delt-fly.mp4,Dumbbell Rear Delt Fly,draft_requires_human_review,posture_or_correction_claim
dumbbell-row-bilateral,Dumbbell Row Bilateral,Row Bilateral,"A bent-over two-dumbbell row that hammers the lats, mid-back, and biceps.","Stand with a dumbbell in each hand, feet hip-width apart, and a slight bend in the knees. | Hinge at the hips until the torso is at about a 45 degree angle, keeping the back flat and the chest proud. | Let both dumbbells hang straight down beneath the shoulders, palms facing each other. | Pull both dumbbells up to the ribs at the same time, driving the elbows back toward the ceiling. | Squeeze the shoulder blades together at the top with the dumbbells touching the lower-rib line. | Lower both dumbbells under control over 2 to 3 seconds back to the fully extended hanging position.","Standing too upright, which turns the row into a high pull and removes the lat engagement. | Rounding the lower back at the hinge, which loads the spine instead of the working muscles. | Yanking the dumbbells up with momentum instead of pulling cleanly with the back. | Letting the elbows flare wide, which shifts work off the lats onto the rear delts only.",Builds back thickness through the lats and mid-back together. | Develops biceps strength alongside the rowing pattern. | Reinforces hinge bracing and core stability under load.,Keep your ribs controlled and lead the movement with your elbows.,Trapezius | Back,Biceps,Dumbbell,Pull,beginner,posters/dumbbell-row-bilateral.webp,dumbbell-row-bilateral.mp4,Dumbbell Row Bilateral,draft_requires_human_review,
dumbbell-row-unilateral,Dumbbell Row Unilateral,Row Unilateral,A bench-supported single-arm dumbbell row.,"Place one knee and one hand on a flat bench, with the free foot planted out to the side for balance. | Set the back flat and parallel to the floor, with the hips and shoulders square to the bench. | Hold a dumbbell in the free hand with the arm hanging straight down and the palm facing the bench. | Pull the dumbbell up to the ribs by driving the elbow back toward the ceiling, keeping the elbow tucked. | Squeeze the shoulder blade in toward the spine at the top, with the dumbbell at the lower-rib line. | Lower the dumbbell under control over 2 to 3 seconds back to the fully extended hanging position.","Twisting the torso to throw the dumbbell up, which uses momentum instead of back muscle. | Letting the elbow flare wide away from the ribs, shifting work off the lats onto the rear delts only. | Cutting the bottom of the rep short, missing the lat stretch that drives back-thickness growth. | Letting the working shoulder roll forward at the bottom, risking front-shoulder stress under load.",Builds back thickness through the lats and mid-back on each side independently. | Develops biceps strength alongside the rowing pattern. | Can help address left-right back imbalances and improves shoulder control.,Keep your ribs controlled and lead the movement with your elbows.,Trapezius | Back,Biceps,Dumbbell,Pull,beginner,posters/dumbbell-row-unilateral.webp,dumbbell-row-unilateral.mp4,Dumbbell Row Unilateral,draft_requires_human_review,marketing_or_hype_language | posture_or_correction_claim
dumbbell-russian-twist,Dumbbell Russian Twist,Russian Twist,A seated rotational core exercise with a dumbbell.,"Sit on the floor with the knees bent and hold a single dumbbell with both hands at the chest. | Lean the torso back to about a 45 degree angle and lift both feet a few inches off the floor. | Brace the core hard and stack the ribs over the hips, with the chest lifted and the back flat. | Rotate the dumbbell across the body to one side until it taps the floor next to your hip. | Pause briefly at the side with the obliques engaged, then rotate to the other side under control. | Continue alternating side to side for the full set, keeping the feet lifted and the core braced.","Rounding the lower back as you twist, which loads the spine instead of the obliques. | Moving only the arms side to side without rotating through the torso, missing the oblique work. | Putting the feet down between reps, which removes most of the core stability demand. | Loading too heavy, which forces a swinging cheat rep and loses the controlled rotation.",Builds visible oblique definition through resisted rotation. | Develops rotational core strength for sport and daily movement. | Improves trunk stability and bracing under load.,Rotate through the trunk under control without forcing the end range.,Core,Core,Dumbbell,Rotation,intermediate,posters/dumbbell-russian-twist.webp,dumbbell-russian-twist.mp4,Dumbbell Russian Twist,draft_requires_human_review,
dumbbell-seated-overhead-press,Dumbbell Seated Overhead Press,Seated Overhead Press,A seated dumbbell press that trains the front and side shoulders with triceps support.,"Sit on a bench with back support and a dumbbell in each hand resting on top of your thighs. | Kick the dumbbells up to shoulder height with palms facing forward and elbows bent at about 90 degrees. | Brace your core, plant your feet, and press your back firmly against the bench pad. | Press both dumbbells up and slightly inward until your arms reach near-lockout with the bells nearly touching. | Lower the dumbbells under control to the starting position with elbows tracking down beside your ribs. | Pause briefly at the bottom, reset your breath, and repeat for the prescribed number of reps.","Arching the lower back off the bench to push more weight, which loads the spine instead of the shoulders. | Flaring the elbows straight out to the sides, which can increase stress at the front of the shoulder and shortens the press. | Cutting the range short by stopping well below lockout, missing the top portion of the lift. | Banging the dumbbells together at the top, which jolts the wrists and wastes pressing tension.",Builds front and side-shoulder size with triceps support. | Trains the vertical push pattern without lower-back load. | Improves overhead pressing strength for sport and lifting.,"Set your shoulders, brace your trunk, and press through a controlled path.",Shoulders,Shoulders | Triceps,Dumbbell,Push,beginner,posters/dumbbell-seated-overhead-press.webp,dumbbell-seated-overhead-press.mp4,Dumbbell Seated Overhead Press,draft_requires_human_review,
dumbbell-seated-overhead-tricep-extension,Dumbbell Seated Overhead Tricep Extension,Seated Overhead Tricep Extension,An overhead extension that puts the long head of the triceps on full stretch.,"Sit on a bench with back support and hold one dumbbell vertically with both hands cupping the top plate. | Press the dumbbell straight overhead with arms fully extended and elbows close to your ears. | Brace your core and keep your back flat against the bench throughout the set. | Lower the dumbbell slowly behind your head by bending only at the elbows until you feel a deep triceps stretch. | Pause briefly in the stretched position, keeping the upper arms still and pointing straight up. | Extend the elbows to drive the dumbbell back overhead, squeezing the triceps hard at the top.","Letting the elbows flare wide, which shifts load off the triceps and into the shoulder joint. | Moving the upper arms forward and back instead of keeping them locked vertical, turning the lift into a press. | Cutting the bottom range short and missing the deep stretch where most growth happens. | Going too heavy and dropping the dumbbell down hard, which makes the movement harder to control.",Targets the long head of the triceps under deep stretch. | Builds upper-arm size and pressing lockout strength. | Trains controlled elbow extension with isolated load.,"Keep the rest of your body still and move through a smooth, controlled range.",Triceps,,Dumbbell,Isolation,intermediate,posters/dumbbell-seated-overhead-tricep-extension.webp,dumbbell-seated-overhead-tricep-extension.mp4,Dumbbell Seated Overhead Tricep Extension,draft_requires_human_review,absolute_or_safety_claim
dumbbell-seated-rear-delt-fly,Dumbbell Seated Rear Delt Fly,Seated Rear Delt Fly,A bent-over seated fly that trains the rear shoulders and upper-back detail.,"Sit on the edge of a bench with a dumbbell in each hand and your feet planted shoulder-width apart. | Hinge forward from the hips until your chest is close to your thighs and your arms hang straight down. | Keep a small bend in the elbows and palms facing each other, with the dumbbells underneath your shoulders. | Raise both dumbbells out to the sides in a wide arc until your upper arms are parallel to the floor. | Squeeze your shoulder blades together at the top and feel the rear shoulders working. | Lower the dumbbells under control along the same arc and reset before the next rep.","Using too much weight and swinging the torso, which turns the lift into a row instead of a fly. | Bending the elbows and pulling instead of keeping a fixed angle and lifting from the rear shoulders. | Shrugging the shoulders up at the top, which transfers the work to the upper traps. | Sitting upright instead of hinging forward, which lets gravity bypass the rear shoulders entirely.",Builds the rear shoulders for visible 3D shoulder shape. | Balances out heavy pressing volume in any push program. | Supports upper-back strength and positional control by strengthening the upper-back stabilizers.,"Keep the rest of your body still and move through a smooth, controlled range.",Shoulders,,Dumbbell,Isolation,beginner,posters/dumbbell-seated-rear-delt-fly.webp,dumbbell-seated-rear-delt-fly.mp4,Dumbbell Seated Rear Delt Fly,draft_requires_human_review,posture_or_correction_claim
dumbbell-seated-shrug,Dumbbell Seated Shrug,Seated Shrug,A seated shrug variation that isolates the upper traps without leg drive.,"Sit upright on a flat bench with a dumbbell in each hand and your feet planted on the floor. | Let your arms hang straight down beside your hips with palms facing your thighs. | Brace your core and sit tall with your chest up and chin neutral. | Shrug your shoulders straight up toward your ears, lifting the dumbbells without bending the elbows. | Squeeze the traps hard at the top of the shrug for a one-second pause. | Lower the dumbbells back down slowly and feel the traps stretch before the next rep.","Rolling the shoulders forward or backward instead of shrugging straight up, which can irritate the shoulder joint. | Bending the elbows during the lift, turning the shrug into a partial upright row. | Cutting the top short and skipping the squeeze, where most of the trap contraction happens. | Using too much weight and barely moving the dumbbells, which reduces the lift to a hold.",Builds upper-trap size and thickness in isolation. | Removes lower-body cheat momentum from the shrug pattern. | Improves shoulder stability for heavier overhead and pulling lifts.,"Keep the rest of your body still and move through a smooth, controlled range.",Trapezius,,Dumbbell,Isolation,beginner,posters/dumbbell-seated-shrug.webp,dumbbell-seated-shrug.mp4,Dumbbell Seated Shrug,draft_requires_human_review,
dumbbell-shrug,Dumbbell Shrug,Shrug,The standing shrug with two dumbbells.,"Stand tall with a dumbbell in each hand at your sides and your feet shoulder-width apart. | Let your arms hang straight down with palms facing your thighs and core braced. | Keep your chest up, chin neutral, and shoulders relaxed in the starting position. | Shrug your shoulders straight up toward your ears as high as they will go without bending the elbows. | Pause and squeeze the traps hard at the top of the shrug for one full second. | Lower the dumbbells back down under control and feel the stretch before the next rep.","Rolling the shoulders forward or backward, which adds joint stress without making the lift more effective. | Bending the elbows during the lift, which turns the shrug into a partial pull and reduces trap work. | Bouncing into the bottom of each rep, losing tension and bypassing the trap stretch. | Going too heavy and barely moving the dumbbells, which leaves the traps under-stimulated.",Builds upper-trap thickness and shoulder-girdle strength. | Improves carrying and pulling capacity under heavy load. | Adds visible upper-back size for any physique program.,"Keep the rest of your body still and move through a smooth, controlled range.",Trapezius,,Dumbbell,Isolation,beginner,posters/dumbbell-shrug.webp,dumbbell-shrug.mp4,Dumbbell Shrug,draft_requires_human_review,
dumbbell-side-bend,Dumbbell Side Bend,Side Bend,A standing side bend with one dumbbell that trains the obliques against gravity.,"Stand tall with a dumbbell in your right hand and your left hand placed lightly on your hip. | Set your feet shoulder-width apart with knees soft and core lightly braced. | Keep your chest up and gaze forward through the entire set. | Bend slowly to the right side, lowering the dumbbell along your thigh until you feel a stretch in the left obliques. | Pause briefly at the bottom of the bend without rotating the torso forward or back. | Pull yourself back up to a fully upright position by squeezing the left obliques, then repeat for reps before switching sides.","Bending forward instead of straight to the side, which loads the lower back instead of the obliques. | Using too heavy a dumbbell and using momentum, which kills the contraction and can increase demand on the lower back. | Holding a dumbbell in both hands at once, which cancels out the side load and removes the training effect. | Rushing through reps and skipping the squeeze at the top, where the obliques shorten the most.",Builds oblique strength and side-trunk stability. | Trains lateral spinal flexion against external load. | Adds visible side-core definition over time.,Breathe steadily and keep your trunk position controlled throughout the set.,Core,,Dumbbell,Core,beginner,posters/dumbbell-side-bend.webp,dumbbell-side-bend.mp4,Dumbbell Side Bend,draft_requires_human_review,
dumbbell-single-arm-chest-press,Dumbbell Single Arm Chest Press,Single Arm Chest Press,A one-arm dumbbell bench press that trains the chest with built-in core anti-rotation.,"Lie flat on a bench with one dumbbell held over your chest and the other arm braced on the bench. | Plant your feet firmly on the floor and pull your shoulder blades back and down into the bench. | Start with the working arm extended over your shoulder with the palm facing your feet. | Lower the dumbbell slowly to the side of your chest with the elbow tracked at about 60 to 75 degrees. | Pause briefly when the dumbbell touches the side of the chest, fighting any rotation in your torso. | Press the dumbbell back up to full extension, squeeze the chest, and repeat for reps before switching arms.","Letting the torso twist toward the working side, which turns the press into a rotational lift. | Flaring the elbow out to 90 degrees, which can increase stress at the front of the shoulder and shortens the press. | Using too much weight and bouncing the dumbbell off the chest instead of pausing or controlling the touch. | Lifting the off-side hip or shoulder off the bench for leverage, which destabilizes the lift.",Builds chest and triceps strength one side at a time. | Trains core anti-rotation through real pressing load. | Can help address side-to-side imbalances in horizontal pressing.,"Set your shoulders, brace your trunk, and press through a controlled path.",Chest,Triceps,Dumbbell,Push,beginner,posters/dumbbell-single-arm-chest-press.webp,dumbbell-single-arm-chest-press.mp4,Dumbbell Single Arm Chest Press,draft_requires_human_review,posture_or_correction_claim
dumbbell-single-arm-clean-and-press,Dumbbell Single Arm Clean And Press,Single Arm Clean And Press,A two-stage explosive lift.,"Stand with a dumbbell on the floor between your feet and squat down to grip it with one hand. | Set a flat back, brace your core, and look straight ahead with the dumbbell hanging between your knees. | Drive through your heels and explode upward, pulling the dumbbell straight up close to your body. | Catch the dumbbell at shoulder height with the elbow tucked under and your knees softly bent. | Stand fully tall, then press the dumbbell straight overhead until your arm reaches full lockout. | Lower the dumbbell back to your shoulder, then to the floor under control before the next rep.","Rounding the lower back during the pull from the floor, which places high demand on the lower back under load. | Curling the dumbbell to the shoulder with the arm instead of using the hips to drive it up. | Pressing overhead before standing fully tall, turning the lift into an unstable push press. | Dropping the dumbbell back down without control, which can injure the shoulder or wrist.","Builds full-body explosive power from floor to overhead. | Trains the legs, back, and shoulders in one lift. | Doubles as strength and conditioning when done for reps.","Set your shoulders, brace your trunk, and press through a controlled path.",Core | Glutes | Shoulders,,Dumbbell,Push,advanced,posters/dumbbell-single-arm-clean-and-press.webp,dumbbell-single-arm-clean-and-press.mp4,Dumbbell Single Arm Clean And Press,draft_requires_human_review,
dumbbell-single-arm-row,Dumbbell Single Arm Row,Single Arm Row,The classic one-arm bench-supported row that trains the lats and biceps with side-by-side loading.,"Place one knee and the same-side hand on a flat bench with your back parallel to the floor. | Hold a dumbbell in the opposite hand with your arm hanging straight down beneath your shoulder. | Set a flat back, brace your core, and keep your hips square to the bench. | Pull the dumbbell up to the side of your ribs by driving your elbow back along your body. | Squeeze your shoulder blade in toward your spine at the top of the row and pause briefly. | Lower the dumbbell slowly until your arm is fully extended again, then repeat for reps before switching sides.","Rotating the torso to throw the dumbbell up, which turns the row into a swing and offloads the back. | Pulling with the arm only and letting the elbow flare wide, which trades lat work for rear-shoulder work. | Rounding the lower back instead of bracing flat, which can make the position harder to control under load under load. | Cutting the bottom range short and skipping the lat stretch, where most of the growth stimulus happens.",Builds the lats and biceps one side at a time. | Trains a long-range row with bench-supported safety. | Can help address side-to-side imbalances in horizontal pulling.,Keep your ribs controlled and lead the movement with your elbows.,Back,Biceps,Dumbbell,Pull,beginner,posters/dumbbell-single-arm-row.webp,dumbbell-single-arm-row.mp4,Dumbbell Single Arm Row,draft_requires_human_review,absolute_or_safety_claim | posture_or_correction_claim
dumbbell-single-leg-calf-raise,Dumbbell Single Leg Calf Raise,Single Leg Calf Raise,A one-leg calf raise loaded with a dumbbell.,"Stand on one foot on the edge of a step with your heel hanging off and a dumbbell in the same-side hand. | Place your other hand on a wall or rail for balance and keep your standing leg slightly bent. | Lift the non-working foot off the step and tuck it behind your standing leg. | Lower your heel slowly toward the floor until you feel a deep stretch in the calf. | Drive up onto the ball of your foot as high as you can go, squeezing the calf hard at the top. | Pause for one second at the top, lower under control, and repeat for reps before switching legs.","Bouncing through reps and skipping the bottom stretch, which is where the calf gets most of its growth. | Leaning heavily on the balance hand, which removes load from the working leg. | Cutting the top range short and not rising fully onto the ball of the foot. | Rushing through reps too quickly, which trades full contractions for momentum.",Builds each calf independently for balanced size and strength. | Trains ankle stability and lower-leg control under load. | Improves jumping and sprinting drive over time.,"Keep the rest of your body still and move through a smooth, controlled range.",Calves,,Dumbbell,Isolation,beginner,posters/dumbbell-single-leg-calf-raise.webp,dumbbell-single-leg-calf-raise.mp4,Dumbbell Single Leg Calf Raise,draft_requires_human_review,medical_or_rehab_claim
dumbbell-situp,Dumbbell Situp,Situp,The classic situp loaded with a dumbbell on the chest.,"Lie on your back with knees bent at 90 degrees and feet flat on the floor or anchored under a pad. | Hold a dumbbell against your chest with both hands, hugging it close to your sternum. | Brace your core and tuck your chin slightly toward your chest before starting the rep. | Sit all the way up by curling your torso forward until your elbows pass over your knees. | Pause briefly at the top, keeping the dumbbell tight against your chest the whole time. | Lower yourself back down slowly under control until your shoulder blades touch the floor.","Yanking the head and neck forward to start the rep, which can increase stress on the neck instead of the abs. | Dropping back down quickly and bouncing off the floor instead of controlling the lowering phase. | Holding the dumbbell out in front of the chest, which loads the shoulders instead of the abs. | Hooking the feet too aggressively under a pad, which lets the hip flexors do most of the work.",Adds real strength stimulus to the situp pattern. | Builds trunk flexion strength under external load. | Bridges bodyweight ab work into loaded core training.,Breathe steadily and keep your trunk position controlled throughout the set.,Core,,Dumbbell,Core,intermediate,posters/dumbbell-situp.webp,dumbbell-situp.mp4,Dumbbell Situp,draft_requires_human_review,
